timestamp,state,detected,path_blocked,unsafe,selected_side,background_depth,obstacle_depth,width_norm,height_norm,reason
1787978861.909821,CRUISING,True,True,False,left,3.198054790496826,1.8948694467544556,0.14285714285714285,0.33035714285714285,supported obstacle
1787978862.0129883,TURN_TO_TANGENT,True,True,False,left,3.1838698387145996,1.8586831092834473,0.14285714285714285,0.3392857142857143,supported obstacle
1787978862.3951516,TURN_TO_TANGENT,True,True,False,left,3.1700022220611572,1.919095754623413,0.1875,0.35267857142857145,supported obstacle
1787978862.7769778,TURN_TO_TANGENT,True,True,False,left,3.133049488067627,2.046983480453491,0.13392857142857142,0.3392857142857143,supported obstacle
1787978863.148075,TURN_TO_TANGENT,True,True,False,left,3.0849759578704834,2.0889334678649902,0.125,0.3125,supported obstacle
1787978863.5231915,TURN_TO_TANGENT,True,False,False,left,3.2147769927978516,2.076972007751465,0.14285714285714285,0.24107142857142858,supported obstacle
1787978863.8955436,TURN_TO_TANGENT,True,False,False,left,3.0611281394958496,2.020512819290161,0.15178571428571427,0.2857142857142857,supported obstacle
1787978863.9786682,OFFSET_OUT,True,False,False,left,3.164680004119873,2.14683198928833,0.125,0.2767857142857143,supported obstacle
1787978864.3503373,OFFSET_OUT,True,False,False,left,3.097471237182617,2.2132885456085205,0.125,0.2857142857142857,supported obstacle
1787978864.725903,OFFSET_OUT,True,False,False,left,3.0789923667907715,2.146118640899658,0.125,0.29464285714285715,supported obstacle
1787978864.811142,TURN_PARALLEL,True,False,False,left,3.0090408325195312,2.1385185718536377,0.13392857142857142,0.33035714285714285,supported obstacle
1787978865.1826537,TURN_PARALLEL,True,False,False,left,2.9413652420043945,2.1315832138061523,0.13392857142857142,0.36607142857142855,supported obstacle
1787978865.5546308,TURN_PARALLEL,True,False,False,left,3.006934642791748,2.00589656829834,0.1875,0.36607142857142855,supported obstacle
1787978865.9311082,TURN_PARALLEL,True,True,False,left,3.0578317642211914,2.042046308517456,0.1875,0.3705357142857143,supported obstacle
1787978866.3016887,TURN_PARALLEL,True,True,False,left,3.1255249977111816,2.085592031478882,0.14285714285714285,0.34375,supported obstacle
1787978866.6710021,TURN_PARALLEL,True,True,False,left,3.2152717113494873,2.0402002334594727,0.16071428571428573,0.34375,supported obstacle
