candidate_index,center_x_norm,center_y_norm,area_norm,median_depth,timestamp,scenario,frame_index,candidate_count,bbox_x,bbox_y,bbox_width,bbox_height,frames,expected_count_rate,merge_rate,false_split_rate,identity_stability_rate
0,0.5,0.8080357142857143,0.08035714285714286,2.318469762802124,1788700132.4912097,clearly_separated,0,1,0,172,224,18,1,0.0,1.0,0.0,0.0
0,0.8482142857142857,0.8080357142857143,0.024394132653061226,2.299362897872925,1788700133.1816862,clearly_separated,1,2,156,172,68,18,2,0.5,0.5,0.0,0.0
1,0.28125,0.8080357142857143,0.045200892857142856,2.318952798843384,1788700133.1817572,clearly_separated,1,2,0,172,126,18,2,0.5,0.5,0.0,0.0
0,0.5,0.8080357142857143,0.08035714285714286,2.3219211101531982,1788700133.5842512,clearly_separated,2,1,0,172,224,18,3,0.3333333333333333,0.6666666666666666,0.0,0.0
0,0.8526785714285714,0.8125,0.021045918367346938,2.294173002243042,1788700133.9789999,clearly_separated,3,2,158,174,66,16,4,0.5,0.5,0.0,0.0
1,0.25892857142857145,0.8125,0.036989795918367346,2.3231613636016846,1788700133.9790714,clearly_separated,3,2,0,174,116,16,4,0.5,0.5,0.0,0.0
0,0.8392857142857143,0.8125,0.02295918367346939,2.308603525161743,1788700134.3671885,clearly_separated,4,2,152,174,72,16,5,0.6,0.4,0.0,1.0
1,0.30357142857142855,0.8080357142857143,0.04878826530612245,2.3168370723724365,1788700134.3672595,clearly_separated,4,2,0,172,136,18,5,0.6,0.4,0.0,1.0
0,0.5,0.8080357142857143,0.08035714285714286,2.308866024017334,1788700134.7537296,clearly_separated,5,1,0,172,224,18,6,0.5,0.5,0.0,1.0
0,0.29017857142857145,0.8348214285714286,0.011240433673469387,2.359577178955078,1788700135.1394715,clearly_separated,6,2,18,184,94,6,7,0.5714285714285714,0.42857142857142855,0.0,1.0
1,0.8214285714285714,0.8080357142857143,0.028698979591836735,2.307255506515503,1788700135.1395428,clearly_separated,6,2,144,172,80,18,7,0.5714285714285714,0.42857142857142855,0.0,1.0
0,0.5,0.7901785714285714,0.11607142857142858,2.2976956367492676,1788700135.5218024,clearly_separated,7,1,0,164,224,26,8,0.5,0.5,0.0,1.0
0,0.84375,0.8169642857142857,0.01953125,2.3204143047332764,1788700135.9078262,clearly_separated,8,2,154,176,70,14,9,0.5555555555555556,0.4444444444444444,0.0,1.0
1,0.2857142857142857,0.7991071428571429,0.05612244897959184,2.2884387969970703,1788700135.9079387,clearly_separated,8,2,0,168,128,22,9,0.5555555555555556,0.4444444444444444,0.0,1.0
0,0.9241071428571429,0.8214285714285714,0.008131377551020409,2.3099122047424316,1788700136.2871573,clearly_separated,9,1,190,178,34,12,10,0.5,0.5,0.0,1.0
0,0.03571428571428571,0.8258928571428571,0.0031887755102040817,2.038522243499756,1788700208.773576,clearly_separated,0,4,0,180,16,10,1,0.0,0.0,1.0,0.0
1,0.8214285714285714,0.75,0.07015306122448979,2.004619598388672,1788700208.7736604,clearly_separated,0,4,144,146,80,44,1,0.0,0.0,1.0,0.0
2,0.1875,0.5580357142857143,0.001913265306122449,1.9930192232131958,1788700208.7737088,clearly_separated,0,4,34,122,16,6,1,0.0,0.0,1.0,0.0
3,0.42857142857142855,0.5580357142857143,0.0390625,1.5508193969726562,1788700208.7737672,clearly_separated,0,4,82,90,28,70,1,0.0,0.0,1.0,0.0
0,0.05357142857142857,0.8080357142857143,0.00860969387755102,1.9783458709716797,1788700209.1746607,clearly_separated,1,4,0,172,24,18,2,0.0,0.0,1.0,0.0
1,0.8035714285714286,0.7366071428571429,0.08769132653061225,1.984918475151062,1788700209.1747394,clearly_separated,1,4,136,140,88,50,2,0.0,0.0,1.0,0.0
2,0.1875,0.5580357142857143,0.0014349489795918368,1.9355614185333252,1788700209.174788,clearly_separated,1,4,36,122,12,6,2,0.0,0.0,1.0,0.0
3,0.42857142857142855,0.5580357142857143,0.036830357142857144,1.6051435470581055,1788700209.1748478,clearly_separated,1,4,82,92,28,66,2,0.0,0.0,1.0,0.0
0,0.0625,0.7901785714285714,0.014508928571428572,1.9523556232452393,1788700209.574082,clearly_separated,2,4,0,164,28,26,3,0.0,0.0,1.0,0.0
1,0.8125,0.7366071428571429,0.08370535714285714,1.9897167682647705,1788700209.5741608,clearly_separated,2,4,140,140,84,50,3,0.0,0.0,1.0,0.0
2,0.19196428571428573,0.5580357142857143,0.0016741071428571428,1.9761924743652344,1788700209.5742118,clearly_separated,2,4,36,122,14,6,3,0.0,0.0,1.0,0.0
3,0.42410714285714285,0.5535714285714286,0.03826530612244898,1.6203126907348633,1788700209.5742714,clearly_separated,2,4,80,92,30,64,3,0.0,0.0,1.0,0.0
0,0.06696428571428571,0.7901785714285714,0.015545280612244899,1.9305928945541382,1788700209.9615417,clearly_separated,3,4,0,164,30,26,4,0.0,0.0,1.0,0.0
