timestamp,frame_index,detection_count,maximum_visible_cans,mapped_this_frame,known_can_count,show_vague_map,merge_radius_m,known_cans_json,detection_index,confidence,center_x,center_y,error_x
1788708101.7229915,60,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.999184787273407, ""last_seen_at"": 1788708101.6666713, ""observations"": 1, ""position"": {""x_m"": 0.005444943069050136, ""y_m"": 0.2527693159119651}}]",0,0.999184787273407,166.58147430419922,133.25399780273438,0.020567107200622558
1788708102.1904705,61,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9994806051254272, ""last_seen_at"": 1788708102.147426, ""observations"": 2, ""position"": {""x_m"": 0.005320653522917223, ""y_m"": 0.2481446434251321}}]",0,0.9994806051254272,166.51959228515625,133.4511947631836,0.020373725891113283
1788708102.6358335,62,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9995073080062866, ""last_seen_at"": 1788708102.5981286, ""observations"": 3, ""position"": {""x_m"": 0.005425793884471983, ""y_m"": 0.24816984319909327}}]",0,0.9995073080062866,166.9372329711914,132.83637237548828,0.021678853034973144
1788708103.071066,63,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9996691346168518, ""last_seen_at"": 1788708103.0397415, ""observations"": 4, ""position"": {""x_m"": 0.005370552515824906, ""y_m"": 0.24800866853411635}}]",0,0.9996691346168518,166.42457580566406,133.2009735107422,0.020076799392700195
1788708103.503291,64,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9996691346168518, ""last_seen_at"": 1788708103.4730017, ""observations"": 5, ""position"": {""x_m"": 0.0053756921022880145, ""y_m"": 0.24692789147958707}}]",0,0.9994806051254272,166.79582977294922,133.31366729736328,0.02123696804046631
1788708103.93788,65,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9996691346168518, ""last_seen_at"": 1788708103.9060097, ""observations"": 6, ""position"": {""x_m"": 0.005384483662305029, ""y_m"": 0.2476893114586732}}]",0,0.9996259212493896,166.59473419189453,132.79644393920898,0.02060854434967041
1788708104.3722777,66,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9996691346168518, ""last_seen_at"": 1788708104.3402932, ""observations"": 7, ""position"": {""x_m"": 0.005367078860949575, ""y_m"": 0.24668644884106058}}]",0,0.9995539784431458,166.68091583251953,133.41973114013672,0.020877861976623537
1788708104.8060853,67,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9996691346168518, ""last_seen_at"": 1788708104.774048, ""observations"": 8, ""position"": {""x_m"": 0.005408330040446486, ""y_m"": 0.24681935637195576}}]",0,0.9996273517608643,167.02561950683594,133.3073501586914,0.021955060958862304
1788708105.2392526,68,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708105.2078683, ""observations"": 9, ""position"": {""x_m"": 0.005403242420832056, ""y_m"": 0.24607857913934217}}]",0,0.9997246861457825,166.82233428955078,133.02198791503906,0.02131979465484619
1788708105.6735294,69,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708105.64233, ""observations"": 10, ""position"": {""x_m"": 0.005361455736133697, ""y_m"": 0.24545183406634777}}]",0,0.9994946718215942,166.3516616821289,133.5258026123047,0.019848942756652832
1788708106.107397,70,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708106.0753155, ""observations"": 11, ""position"": {""x_m"": 0.005350919490843563, ""y_m"": 0.24523107519910017}}]",0,0.999555766582489,166.59473419189453,133.58545303344727,0.02060854434967041
1788708106.5402796,71,1,1,1,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708106.5092509, ""observations"": 12, ""position"": {""x_m"": 0.005291938593960366, ""y_m"": 0.24327082578041245}}]",0,0.9997153878211975,166.3986587524414,132.76419067382812,0.019995808601379395
1788708106.9780917,72,2,2,2,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708106.9440675, ""observations"": 14, ""position"": {""x_m"": 0.011767543584987243, ""y_m"": 0.2426633203925157}}]",0,0.9996587038040161,166.34945678710938,132.35709381103516,0.019842052459716798
1788708106.9780917,72,2,2,2,1,True,0.3,"[{""can_id"": 1, ""confidence"": 0.9997246861457825, ""last_seen_at"": 1788708106.9440675, ""observations"": 14, ""position"": {""x_m"": 0.011767543584987243, ""y_m"": 0.2426633203925157}}]",1,0.6436653137207031,276.85218811035156,125.34732437133789,0.36516308784484863
