timestamp,state,detected,path_blocked,unsafe,selected_side,background_depth,obstacle_depth,width_norm,height_norm,reason
1787976073.0712368,READY,True,True,False,left,2.720745086669922,1.5244415998458862,0.42857142857142855,0.35714285714285715,supported obstacle
1787976073.4816067,READY,True,True,False,left,2.6820945739746094,1.496124029159546,0.42857142857142855,0.35714285714285715,supported obstacle
1787976073.8575163,READY,True,True,False,left,2.754805326461792,1.5278761386871338,0.42857142857142855,0.35714285714285715,supported obstacle
1787976074.229698,READY,True,True,False,left,2.682354688644409,1.5156704187393188,0.42857142857142855,0.35714285714285715,supported obstacle
1787976074.605688,READY,True,True,False,left,2.7136144638061523,1.50392746925354,0.42857142857142855,0.35714285714285715,supported obstacle
1787976074.9791267,READY,True,True,False,left,2.703751564025879,1.495694637298584,0.42857142857142855,0.35714285714285715,supported obstacle
1787976075.3484128,READY,True,True,False,left,2.73445463180542,1.5039407014846802,0.42857142857142855,0.35714285714285715,supported obstacle
1787976075.7206001,READY,True,True,False,left,2.7295925617218018,1.5067662000656128,0.42857142857142855,0.35714285714285715,supported obstacle
1787976076.088644,READY,True,True,False,left,2.7090606689453125,1.5039340257644653,0.42857142857142855,0.35714285714285715,supported obstacle
1787976076.4573631,READY,True,True,False,left,2.6874518394470215,1.5187686681747437,0.41964285714285715,0.35714285714285715,supported obstacle
1787976076.8294568,READY,True,True,False,left,1.7965891361236572,1.4825091361999512,0.39285714285714285,0.23214285714285715,supported obstacle
1787976077.1974444,READY,True,True,False,left,2.563673257827759,1.4205528497695923,0.42857142857142855,0.35714285714285715,supported obstacle
1787976077.5659783,READY,True,True,False,left,1.9066364765167236,1.4038879871368408,0.41964285714285715,0.2767857142857143,supported obstacle
1787976077.9383214,READY,True,True,False,left,2.146068811416626,1.428907871246338,0.42857142857142855,0.33035714285714285,supported obstacle
1787976078.3076644,READY,True,True,False,left,1.5963830947875977,1.3329112529754639,0.4107142857142857,0.17410714285714285,supported obstacle
1787976078.677586,READY,True,False,False,left,1.3456541299819946,1.064827799797058,0.24107142857142858,0.29910714285714285,supported obstacle
1787976079.050228,READY,True,True,False,left,1.3274098634719849,0.935257077217102,0.42857142857142855,0.28125,supported obstacle
1787976079.4187765,READY,True,False,False,left,1.8460586071014404,1.17519211769104,0.30357142857142855,0.5401785714285714,supported obstacle
1787976079.7862341,READY,False,False,True,,1.7948412895202637,,,,center obstacle outside supported cylinder geometry
1787976080.155876,READY,False,False,True,,1.4959583282470703,,,,center obstacle outside supported cylinder geometry
1787976080.52324,READY,True,True,False,right,1.8071820735931396,1.3764545917510986,0.38392857142857145,0.5401785714285714,supported obstacle
1787976080.890273,READY,False,False,True,,2.526001453399658,,,,center obstacle outside supported cylinder geometry
1787976081.2626905,READY,False,False,True,,1.6709805727005005,,,,center obstacle outside supported cylinder geometry
1787976081.630903,READY,True,True,False,left,1.640599250793457,1.4136266708374023,0.125,0.10714285714285714,supported obstacle
1787976081.9972115,READY,False,False,True,,1.709543228149414,,,,center obstacle outside supported cylinder geometry
1787976082.3704615,READY,True,True,False,right,1.4300270080566406,1.1202101707458496,0.2857142857142857,0.4330357142857143,supported obstacle
1787976082.737434,READY,False,False,True,,1.8424880504608154,,,,center obstacle outside supported cylinder geometry
1787976083.106494,READY,False,False,True,,2.007765531539917,,,,center obstacle outside supported cylinder geometry
1787976083.4804194,READY,False,False,True,,1.9171550273895264,,,,center obstacle outside supported cylinder geometry
1787976083.8487062,READY,False,False,True,,1.9102098941802979,,,,center obstacle outside supported cylinder geometry
