timestamp,frame_index,detection_count,known_can_count,merge_radius_m,known_cans_json,detection_index,confidence,center_x,center_y,error_x
1788701379.807623,0,1,0,0.3,[],0,0.9982247948646545,157.578125,138.8671875,-0.007568359375
1788701381.2639673,1,1,0,0.3,[],0,0.9976403713226318,158.984375,139.16015625,-0.003173828125
1788701381.720451,2,1,0,0.3,[],0,0.9975985884666443,155.5859375,149.853515625,-0.0137939453125
1788701382.183499,3,1,0,0.3,[],0,0.9965969920158386,159.4921875,141.064453125,-0.0015869140625
1788701382.617366,4,1,0,0.3,[],0,0.9968273043632507,160.3515625,141.884765625,0.0010986328125
1788701383.0508664,5,1,0,0.3,[],0,0.9958900213241577,156.8359375,150.52734375,-0.0098876953125
1788701383.4833143,6,1,0,0.3,[],0,0.9976993203163147,159.84375,140.009765625,-0.00048828125
1788701383.9160008,7,1,0,0.3,[],0,0.9966430068016052,156.0546875,149.82421875,-0.0123291015625
1788701384.3491824,8,1,0,0.3,[],0,0.9986087083816528,158.28125,138.310546875,-0.00537109375
1788701384.781762,9,1,0,0.3,[],0,0.9969485402107239,159.375,139.27734375,-0.001953125
1788701385.2208772,10,1,0,0.3,[],0,0.9969305992126465,159.3359375,139.833984375,-0.0020751953125
1788701385.6540678,11,1,0,0.3,[],0,0.9962345361709595,157.734375,140.537109375,-0.007080078125
1788701386.087264,12,1,0,0.3,[],0,0.9949982762336731,155.625,149.58984375,-0.013671875
1788701386.5244617,13,1,0,0.3,[],0,0.9948503375053406,159.921875,141.03515625,-0.000244140625
1788701386.954982,14,1,0,0.3,[],0,0.9960159659385681,159.21875,141.240234375,-0.00244140625
1788701387.3877754,15,1,0,0.3,[],0,0.9951514005661011,156.2109375,148.916015625,-0.0118408203125
1788701387.8213148,16,1,0,0.3,[],0,0.9961903095245361,158.28125,139.658203125,-0.00537109375
1788701388.2527628,17,1,0,0.3,[],0,0.9972044825553894,155.625,149.619140625,-0.013671875
1788701388.6841247,18,1,0,0.3,[],0,0.9971606135368347,159.609375,139.21875,-0.001220703125
1788701389.1187158,19,1,0,0.3,[],0,0.9954082369804382,156.171875,149.94140625,-0.011962890625
